,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,daysince,sinday,cosday,sindmo,cosdmo,year,sinrise,cosrise,sinset,cosset,city_b,city_le,city_lh,city_p,city_q,city_sa,city_si,city_su,city_t,city_u
10,30.8,25.2,35.1,29.3,14.15,4.2,0.0,14.9,35.6,276.0,3.16,0,10,0.8978045395707416,-0.4403941515576344,0.1681008942421482,0.9857697953148038,2018,0.984807753012208,0.17364817766693041,-0.9995335908367129,-0.030538513209822718,0,0,0,0,0,0,0,1,0,0
11,30.7,24.7,36.1,28.8,15.45,3.1,0.0,11.3,45.4,280.0,3.5,0,11,0.7907757369376989,-0.6121059825476626,0.1847260560171893,0.982790050940858,2018,0.984807753012208,0.17364817766693041,-0.9995335908367129,-0.030538513209822718,0,0,0,0,0,0,0,1,0,0
12,29.9,25.9,33.8,30.5,14.65,2.6,0.0,20.6,43.9,279.0,3.3,0,12,0.6513724827222223,-0.758758122692791,0.20129852008866006,0.9795299412524945,2018,0.9855560590580777,0.16934950384902475,-0.9995335908367129,-0.030538513209822718,0,0,0,0,0,0,0,1,0,0
13,30.6,25.8,36.3,29.9,16.18,4.2,0.0,14.2,31.7,277.0,3.54,0,13,0.48530196253108104,-0.8743466161445821,0.21781355874885153,0.9759903962771154,2018,0.9855560590580777,0.16934950384902475,-0.9996573249755573,-0.026176948307873482,0,0,0,0,0,0,0,1,0,0
14,30.6,25.6,35.7,30.1,16.94,4.0,0.0,15.6,30.2,290.0,3.61,0,14,0.29936312297335804,-0.9541392564000488,0.23426646067208215,0.9721724257579906,2018,0.9862856015372313,0.16504760586067782,-0.9996573249755573,-0.026176948307873482,0,0,0,0,0,0,0,1,0,0
15,31.1,25.7,36.8,29.7,20.66,2.0,0.0,18.8,33.1,287.0,4.44,0,15,0.10116832198743272,-0.994869323391895,0.2506525322587205,0.9680771188662043,2018,0.9862856015372313,0.16504760586067782,-0.9996573249755573,-0.026176948307873482,0,0,0,0,0,0,0,1,0,0
16,31.8,26.0,37.8,30.3,19.81,5.3,0.0,12.8,27.0,272.0,4.36,0,16,-0.10116832198743204,-0.9948693233918952,0.26696709897415166,0.9637056438899408,2018,0.9869963665602319,0.1607425656038261,-0.9996573249755573,-0.026176948307873482,0,0,0,0,0,0,0,1,0,0
17,31.3,25.6,37.6,30.3,21.78,17.8,0.0,15.0,34.9,284.0,4.41,0,17,-0.2993631229733582,-0.9541392564000488,0.2832055066823041,0.9590592479012021,2018,0.9869963665602319,0.1607425656038261,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
18,31.2,25.3,37.7,29.3,16.7,32.0,0.0,13.7,27.7,274.0,3.53,0,18,-0.4853019625310808,-0.8743466161445822,0.29936312297335793,0.9541392564000488,2018,0.9876883405951378,0.15643446504023092,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
19,29.6,24.9,34.8,29.1,15.2,21.7,0.0,12.3,32.8,279.0,3.17,0,19,-0.651372482722222,-0.7587581226927911,0.31543533848525546,0.9489470729364691,2018,0.9876883405951378,0.15643446504023092,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
20,29.9,25.4,33.7,30.1,16.28,4.9,0.0,17.1,34.9,283.0,3.61,0,20,-0.7907757369376986,-0.6121059825476627,0.33141756821863577,0.9434841787099802,2018,0.9883615104677607,0.1521233861899168,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
21,29.6,26.1,34.4,30.4,13.37,6.5,0.0,18.2,41.8,289.0,3.03,0,21,-0.8978045395707417,-0.44039415155763423,0.3473052528448203,0.9377521321470804,2018,0.9883615104677607,0.1521233861899168,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
22,30.3,25.2,35.2,29.7,15.77,7.7,0.0,21.0,41.4,294.0,3.29,0,22,-0.9680771188662041,-0.2506525322587213,0.36309386000647453,0.9317525684566684,2018,0.9883615104677607,0.1521233861899168,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
23,30.3,25.8,36.0,30.3,18.59,7.4,0.0,17.1,38.5,286.0,3.84,0,23,-0.9987165071710528,-0.05064916883871355,0.378778885610576,0.9254871991635596,2018,0.9890158633619168,0.14780941112961077,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
24,29.8,25.7,34.6,29.6,16.93,4.9,0.0,22.2,53.6,280.0,3.56,0,24,-0.9884683243281114,0.15142777750457667,0.39435585511331855,0.9189578116202306,2018,0.9890158633619168,0.14780941112961077,-0.9998476951563913,-0.017452406437283498,0,0,0,0,0,0,0,1,0,0
25,29.9,26.0,35.1,30.2,20.85,6.1,0.0,21.4,41.8,295.0,4.28,0,25,-0.9377521321470804,0.3473052528448203,0.40982032479658753,0.9121662684969334,2018,0.9890158633619168,0.14780941112961077,-0.9998476951563913,-0.017452406437283498,0,0,0,0,0,0,0,1,0,0
26,30.8,25.8,35.1,29.8,18.97,5.6,0.0,23.5,54.0,292.0,4.2,0,26,-0.8486442574947509,0.5289640103269624,0.4251678830356407,0.9051145072503212,2018,0.9896513868196702,0.1434926219911793,-0.9998476951563913,-0.017452406437283498,0,0,0,0,0,0,0,1,0,0
27,30.5,26.0,34.9,30.1,16.95,15.4,0.0,26.5,55.8,293.0,3.84,0,27,-0.72479278722912,0.6889669190756865,0.4403941515576343,0.8978045395707417,2018,0.9896513868196702,0.1434926219911793,-0.9998476951563913,-0.017452406437283498,0,0,0,0,0,0,0,1,0,0
28,30.5,26.4,35.3,30.0,16.61,6.3,0.0,24.7,51.5,288.0,3.83,0,28,-0.5712682150947924,0.8207634412072763,0.45549478669063403,0.8902384508083516,2018,0.9902680687415703,0.1391731009600657,-0.9998476951563913,-0.017452406437283498,0,0,0,0,0,0,0,1,0,0
29,31.4,25.6,36.3,29.5,20.5,2.7,0.0,25.0,45.4,294.0,4.41,0,29,-0.3943558551133187,0.9189578116202306,0.47046548060275556,0.8824183993782191,2018,0.9902680687415703,0.1391731009600657,-0.9998476951563913,-0.017452406437283498,0,0,0,0,0,0,0,1,0,0
30,30.1,25.1,34.7,28.1,18.62,5.7,0.0,22.4,53.3,294.0,3.98,0,30,-0.20129852008866114,0.9795299412524943,0.48530196253108093,0.8743466161445822,2018,0.9902680687415703,0.1391731009600657,-0.9998476951563913,-0.017452406437283498,0,0,0,0,0,0,0,1,0,0
31,29.3,25.8,34.4,29.8,15.7,11.6,0.0,21.1,47.5,288.0,3.29,0,30,-0.20129852008866114,0.9795299412524943,0.48530196253108093,0.8743466161445822,2018,0.9902680687415703,0.1391731009600657,-0.9998476951563913,-0.017452406437283498,0,0,0,0,0,0,0,1,0,0
32,30.7,25.0,36.4,29.2,20.67,9.1,0.0,18.8,45.0,287.0,4.22,0,31,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,2018,0.9908658973868822,0.13485093027372308,-0.9998476951563913,-0.017452406437283498,0,0,0,0,0,0,0,1,0,0
33,29.5,25.1,35.0,29.4,17.83,16.9,0.0,20.7,43.6,281.0,3.58,0,32,0.2012985200886598,0.9795299412524946,0.5145554000286288,0.857457136130651,2018,0.9908658973868822,0.13485093027372308,-0.9998476951563913,-0.017452406437283498,0,0,0,0,0,0,0,1,0,0
34,31.3,25.2,37.1,30.3,21.86,6.5,0.0,16.7,36.0,276.0,4.45,0,33,0.3943558551133183,0.9189578116202307,0.5289640103269625,0.8486442574947509,2018,0.9908658973868822,0.13485093027372308,-0.9998476951563913,-0.017452406437283498,0,0,0,0,0,0,0,1,0,0
35,30.7,25.4,36.9,30.2,19.09,20.6,0.0,15.2,30.2,280.0,4.01,0,34,0.5712682150947928,0.8207634412072761,0.5432217204804188,0.8395892819696388,2018,0.9914448613738104,0.1305261922200517,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
36,30.0,24.8,33.7,28.5,12.84,0.5,0.0,19.8,36.7,280.0,3.04,0,35,0.7247927872291197,0.6889669190756869,0.5573244631224363,0.8302947927123764,2018,0.9914448613738104,0.1305261922200517,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
37,30.9,25.0,36.0,28.9,22.02,6.8,0.0,19.5,35.3,288.0,4.56,0,36,0.8486442574947507,0.5289640103269628,0.5712682150947923,0.8207634412072763,2018,0.9914448613738104,0.1305261922200517,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
38,28.4,24.9,32.7,29.2,12.03,5.9,0.0,16.9,31.3,284.0,2.52,0,37,0.9377521321470803,0.3473052528448207,0.5850489985953077,0.8109979465095012,2018,0.9914448613738104,0.1305261922200517,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
39,31.2,24.6,36.9,28.9,18.09,8.7,0.0,15.6,29.5,287.0,3.71,0,38,0.9884683243281113,0.15142777750457717,0.598662882312615,0.8010010944693846,2018,0.992004949679715,0.12619896913582973,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
40,31.1,24.6,37.8,29.3,20.97,3.8,0.0,11.2,23.4,286.0,4.34,0,39,0.9987165071710529,-0.05064916883871218,0.6121059825476628,0.7907757369376985,2018,0.992004949679715,0.12619896913582973,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
41,30.3,25.1,35.3,29.3,16.52,6.8,0.0,17.8,34.2,297.0,3.51,0,40,0.9680771188662042,-0.25065253225872086,0.6253744643216369,0.7803247909520918,2018,0.992004949679715,0.12619896913582973,-0.9997620270799091,-0.021814885034560836,0,0,0,0,0,0,0,1,0,0
42,29.8,25.1,33.9,29.3,17.23,3.6,0.0,22.2,39.6,285.0,3.78,0,41,0.8978045395707419,-0.4403941515576338,0.6384645424699834,0.7696512379049323,2018,0.992004949679715,0.12619896913582973,-0.9996573249755573,-0.026176948307873482,0,0,0,0,0,0,0,1,0,0
43,31.0,25.7,35.5,29.7,22.29,9.4,0.0,20.9,40.0,284.0,4.63,0,42,0.7907757369376984,-0.612105982547663,0.6513724827222221,0.758758122692791,2018,0.992004949679715,0.12619896913582973,-0.9996573249755573,-0.026176948307873482,0,0,0,0,0,0,0,1,0,0
44,31.8,25.2,36.2,29.1,16.53,1.1,0.0,19.0,36.7,286.0,3.87,0,43,0.6513724827222227,-0.7587581226927904,0.664094602767239,0.7476485528478091,2018,0.992004949679715,0.12619896913582973,-0.9996573249755573,-0.026176948307873482,0,0,0,0,0,0,0,1,0,0
45,30.8,24.6,36.6,28.0,17.98,16.2,0.0,19.5,38.5,283.0,3.79,0,44,0.48530196253108243,-0.8743466161445813,0.6766272733037573,0.7363256976511974,2018,0.992546151641322,0.12186934340514749,-0.9996573249755573,-0.026176948307873482,0,0,0,0,0,0,0,1,0,0
46,29.7,24.5,33.8,28.0,15.45,4.0,0.0,21.3,42.5,285.0,3.48,0,45,0.29936312297335865,-0.9541392564000486,0.6889669190756865,0.72479278722912,2018,0.992546151641322,0.12186934340514749,-0.9995335908367129,-0.030538513209822718,0,0,0,0,0,0,0,1,0,0
47,31.4,24.9,37.0,29.0,22.91,4.5,0.0,20.4,38.9,285.0,4.61,0,46,0.10116832198743385,-0.9948693233918949,0.7011100198920526,0.7130531116312204,2018,0.992546151641322,0.12186934340514749,-0.9995335908367129,-0.030538513209822718,0,0,0,0,0,0,0,1,0,0
48,31.5,25.5,37.1,30.4,20.83,0.8,0.0,14.3,28.8,288.0,4.33,0,47,-0.10116832198743311,-0.994869323391895,0.7130531116312203,0.7011100198920526,2018,0.992546151641322,0.12186934340514749,-0.9995335908367129,-0.030538513209822718,0,0,0,0,0,0,0,1,0,0
49,31.2,25.6,38.6,30.5,23.14,10.0,0.0,9.0,23.0,280.0,4.71,0,48,-0.299363122973358,-0.9541392564000488,0.72479278722912,0.6889669190756866,2018,0.992546151641322,0.12186934340514749,-0.9995335908367129,-0.030538513209822718,0,0,0,0,0,0,0,1,0,0
50,31.9,25.2,39.5,30.2,21.02,12.4,0.0,11.6,27.4,288.0,4.29,0,49,-0.4853019625310802,-0.8743466161445825,0.7363256976511973,0.6766272733037575,2018,0.992546151641322,0.12186934340514749,-0.9993908270190957,-0.03489949670250165,0,0,0,0,0,0,0,1,0,0
51,31.3,25.4,38.9,30.6,21.81,9.4,0.0,8.3,23.0,295.0,4.46,0,50,-0.6513724827222221,-0.758758122692791,0.747648552847809,0.664094602767239,2018,0.992546151641322,0.12186934340514749,-0.9993908270190957,-0.03489949670250165,0,0,0,0,0,0,0,1,0,0
52,31.4,25.1,38.5,29.6,17.87,9.4,0.0,7.5,20.5,266.0,3.76,0,51,-0.790775736937698,-0.6121059825476636,0.7587581226927909,0.6513724827222223,2018,0.992546151641322,0.12186934340514749,-0.9993908270190957,-0.03489949670250165,0,0,0,0,0,0,0,1,0,0
53,30.5,24.2,37.0,28.2,17.07,16.3,0.0,11.3,24.1,276.0,3.65,0,52,-0.8978045395707416,-0.4403941515576344,0.7696512379049323,0.6384645424699835,2018,0.992546151641322,0.12186934340514749,-0.9992290362407229,-0.03925981575906901,0,0,0,0,0,0,0,1,0,0
54,28.7,25.5,34.3,30.6,14.93,9.7,0.0,11.5,24.5,292.0,3.04,0,53,-0.9680771188662041,-0.2506525322587215,0.7803247909520918,0.6253744643216368,2018,0.992546151641322,0.12186934340514749,-0.9992290362407229,-0.03925981575906901,0,0,0,0,0,0,0,1,0,0
55,31.0,25.0,38.0,29.8,18.55,6.2,0.0,9.8,18.0,267.0,3.9,0,54,-0.9987165071710528,-0.050649168838712906,0.7907757369376985,0.6121059825476629,2018,0.992546151641322,0.12186934340514749,-0.9992290362407229,-0.03925981575906901,0,0,0,0,0,0,0,1,0,0
56,29.1,25.2,35.4,29.8,15.89,6.3,0.0,9.7,21.2,269.0,3.28,0,55,-0.9884683243281113,0.1514277775045773,0.8010010944693846,0.598662882312615,2018,0.992546151641322,0.12186934340514749,-0.9990482215818578,-0.04361938736533613,0,0,0,0,0,0,0,1,0,0
57,31.8,25.0,38.8,29.9,20.74,1.0,0.0,6.6,16.2,238.0,4.31,0,56,-0.9377521321470805,0.34730525284482006,0.8109979465095012,0.5850489985953076,2018,0.9930684569549263,0.1175373974578377,-0.9990482215818578,-0.04361938736533613,0,0,0,0,0,0,0,1,0,0
58,30.3,25.8,38.1,31.5,22.82,3.6,0.0,9.4,20.2,276.0,4.6,0,57,-0.8486442574947516,0.5289640103269615,0.8207634412072763,0.5712682150947923,2018,0.9930684569549263,0.1175373974578377,-0.9990482215818578,-0.04361938736533613,0,0,0,0,0,0,0,1,0,0
59,30.1,25.6,37.5,31.4,15.48,12.1,0.0,11.2,23.8,301.0,3.23,0,60,-0.3943558551133206,0.9189578116202297,0.8486442574947509,0.5289640103269626,2018,0.9930684569549263,0.1175373974578377,-0.9988483864849507,-0.0479781285213447,0,0,0,0,0,0,0,1,0,0
60,32.0,26.0,39.6,31.1,22.36,2.4,0.0,10.3,20.9,288.0,4.63,0,61,-0.20129852008865964,0.9795299412524946,0.857457136130651,0.5145554000286289,2018,0.9930684569549263,0.1175373974578377,-0.9988483864849507,-0.0479781285213447,0,0,0,0,0,0,0,1,0,0
61,29.4,26.3,36.0,32.3,16.4,4.9,0.0,9.7,19.1,338.0,3.37,0,62,-4.898587196589413e-16,1.0,0.8660254037844386,0.5000000000000001,2018,0.9930684569549263,0.1175373974578377,-0.9986295347545738,-0.052335956242944306,0,0,0,0,0,0,0,1,0,0
62,32.0,25.8,40.3,31.1,20.9,5.2,0.0,6.2,23.8,253.0,4.35,0,63,0.20129852008866042,0.9795299412524944,0.8743466161445821,0.485301962531081,2018,0.9930684569549263,0.1175373974578377,-0.9986295347545738,-0.052335956242944306,0,0,0,0,0,0,0,1,0,0
63,29.9,25.9,38.8,31.4,21.3,41.7,0.0,10.2,20.9,230.0,4.38,0,64,0.39435585511331805,0.9189578116202308,0.8824183993782191,0.4704654806027556,2018,0.9930684569549263,0.1175373974578377,-0.9986295347545738,-0.052335956242944306,0,0,0,0,0,0,0,1,0,0
64,32.1,25.1,39.8,30.7,23.06,2.8,0.0,10.3,21.6,278.0,4.88,0,65,0.5712682150947911,0.8207634412072772,0.8902384508083515,0.45549478669063415,2018,0.992546151641322,0.12186934340514749,-0.9983916705573488,-0.056692787563377714,0,0,0,0,0,0,0,1,0,0
65,30.5,25.8,38.2,30.1,18.84,25.7,0.0,10.8,21.2,280.0,3.96,0,66,0.7247927872291196,0.688966919075687,0.8978045395707417,0.4403941515576343,2018,0.992546151641322,0.12186934340514749,-0.9983916705573488,-0.056692787563377714,0,0,0,0,0,0,0,1,0,0
66,31.6,25.3,38.5,29.9,17.98,10.4,0.0,12.5,27.0,281.0,3.78,0,67,0.8486442574947501,0.5289640103269638,0.9051145072503212,0.42516788303564074,2018,0.992546151641322,0.12186934340514749,-0.9981347984218669,-0.06104853953485769,0,0,0,0,0,0,0,1,0,0
67,31.3,25.8,38.3,30.7,18.99,9.0,0.0,9.7,19.4,285.0,3.97,0,68,0.9377521321470809,0.3473052528448193,0.9121662684969334,0.4098203247965874,2018,0.992546151641322,0.12186934340514749,-0.9981347984218669,-0.06104853953485769,0,0,0,0,0,0,0,1,0,0
68,31.6,25.5,38.5,30.2,19.88,13.1,0.0,10.0,19.4,274.0,4.14,0,69,0.9884683243281114,0.15142777750457653,0.9189578116202306,0.39435585511331855,2018,0.992546151641322,0.12186934340514749,-0.9978589232386035,-0.06540312923014362,0,0,0,0,0,0,0,1,0,0
69,30.0,25.1,35.7,29.8,14.24,4.7,0.0,6.9,16.9,274.0,2.97,0,70,0.9987165071710529,-0.05064916883871193,0.9254871991635596,0.3787788856105761,2018,0.992546151641322,0.12186934340514749,-0.9978589232386035,-0.06540312923014362,0,0,0,0,0,0,0,1,0,0
70,29.1,26.0,36.0,31.5,15.88,21.0,0.0,7.5,19.8,239.0,3.31,0,71,0.9680771188662043,-0.2506525322587206,0.9317525684566685,0.3630938600064745,2018,0.992546151641322,0.12186934340514749,-0.9975640502598242,-0.06975647374412558,0,0,0,0,0,0,0,1,0,0
71,29.6,26.0,38.3,31.0,15.7,29.7,0.0,13.4,25.6,200.0,3.28,0,72,0.897804539570742,-0.44039415155763356,0.9377521321470804,0.3473052528448203,2018,0.992546151641322,0.12186934340514749,-0.9975640502598242,-0.06975647374412558,0,0,0,0,0,0,0,1,0,0
72,31.8,25.3,38.5,30.5,19.81,8.0,0.0,8.0,22.0,263.0,4.2,0,73,0.7907757369376996,-0.6121059825476615,0.9434841787099802,0.3314175682186358,2018,0.992546151641322,0.12186934340514749,-0.9972501850994857,-0.07410849019539925,0,0,0,0,0,0,0,1,0,0
73,32.3,26.3,39.6,31.7,23.41,1.0,0.0,6.0,17.6,290.0,4.89,0,74,0.6513724827222229,-0.7587581226927903,0.9489470729364691,0.3154353384852554,2018,0.992546151641322,0.12186934340514749,-0.9972501850994857,-0.07410849019539925,0,0,0,0,0,0,0,1,0,0
74,31.0,25.8,38.0,31.0,20.88,8.8,0.0,7.9,22.0,270.0,4.38,0,75,0.4853019625310811,-0.8743466161445821,0.9541392564000488,0.299363122973358,2018,0.992546151641322,0.12186934340514749,-0.9972501850994857,-0.07410849019539925,0,0,0,0,0,0,0,1,0,0
75,30.6,24.3,37.2,29.2,17.42,13.7,0.0,9.4,25.9,266.0,3.57,0,76,0.29936312297335893,-0.9541392564000486,0.9590592479012021,0.28320550668230415,2018,0.992546151641322,0.12186934340514749,-0.996917333733128,-0.07845909572784557,0,0,0,0,0,0,0,1,0,0
76,31.7,24.3,39.2,29.4,20.52,5.6,0.0,8.3,23.8,139.0,4.32,0,77,0.10116832198743232,-0.9948693233918952,0.9637056438899408,0.2669670989741516,2018,0.992546151641322,0.12186934340514749,-0.996917333733128,-0.07845909572784557,0,0,0,0,0,0,0,1,0,0
77,32.2,26.2,40.3,31.3,24.12,1.1,0.0,7.6,18.4,273.0,5.06,0,78,-0.10116832198743111,-0.9948693233918953,0.9680771188662043,0.25065253225872053,2018,0.992546151641322,0.12186934340514749,-0.9965655024977614,-0.08280820751220469,0,0,0,0,0,0,0,1,0,0
78,32.9,26.3,39.7,31.6,25.21,0.6,0.0,10.4,20.5,299.0,5.35,0,79,-0.29936312297335943,-0.9541392564000484,0.9721724257579906,0.23426646067208223,2018,0.992546151641322,0.12186934340514749,-0.9965655024977614,-0.08280820751220469,0,0,0,0,0,0,0,1,0,0
79,31.9,26.4,36.7,30.9,19.26,9.3,0.0,20.0,36.7,301.0,4.06,0,80,-0.4853019625310816,-0.8743466161445818,0.9759903962771154,0.2178135587488515,2018,0.992004949679715,0.12619896913582973,-0.9961946980917455,-0.08715574274765825,0,0,0,0,0,0,0,1,0,0
80,30.3,25.8,34.8,30.3,11.01,8.6,0.0,18.4,35.3,293.0,2.59,0,81,-0.651372482722222,-0.7587581226927911,0.9795299412524945,0.20129852008866012,2018,0.992004949679715,0.12619896913582973,-0.9961946980917455,-0.08715574274765825,0,0,0,0,0,0,0,1,0,0
81,32.0,25.0,40.0,29.8,23.25,2.4,0.0,9.0,20.2,255.0,4.82,0,82,-0.7907757369376979,-0.6121059825476638,0.9827900509408579,0.18472605601718942,2018,0.992004949679715,0.12619896913582973,-0.9958049275746618,-0.0915016186634022,0,0,0,0,0,0,0,1,0,0
82,31.6,26.9,39.2,32.9,19.85,4.4,0.0,7.3,21.6,270.0,4.13,0,83,-0.8978045395707422,-0.44039415155763306,0.9857697953148038,0.16810089424214814,2018,0.992004949679715,0.12619896913582973,-0.9958049275746618,-0.0915016186634022,0,0,0,0,0,0,0,1,0,0
83,30.3,26.3,38.3,31.9,21.81,30.1,0.0,9.2,19.4,245.0,4.47,0,84,-0.9680771188662044,-0.2506525322587201,0.9884683243281114,0.1514277775045767,2018,0.992004949679715,0.12619896913582973,-0.9953961983671787,-0.09584575252022441,0,0,0,0,0,0,0,1,0,0
84,31.0,25.5,38.4,31.1,17.22,3.4,0.0,6.6,18.0,282.0,3.63,0,85,-0.9987165071710528,-0.050649168838713156,0.9908848681582388,0.13471146222586108,2018,0.992004949679715,0.12619896913582973,-0.9953961983671787,-0.09584575252022441,0,0,0,0,0,0,0,1,0,0
85,29.6,26.6,36.1,32.1,15.25,6.2,0.0,8.7,18.7,278.0,3.23,0,86,-0.9884683243281116,0.1514277775045753,0.9930187374259336,0.1179567171508462,2018,0.992004949679715,0.12619896913582973,-0.9949685182509117,-0.10018806161207644,0,0,0,0,0,0,0,1,0,0
86,32.5,26.0,39.5,31.3,21.96,3.2,0.0,8.0,20.5,285.0,4.61,0,87,-0.9377521321470813,0.3473052528448181,0.9948693233918952,0.10116832198743222,2018,0.992004949679715,0.12619896913582973,-0.9949685182509117,-0.10018806161207644,0,0,0,0,0,0,0,1,0,0
87,32.6,26.2,40.2,32.1,24.0,2.1,0.0,7.9,19.4,289.0,5.1,0,88,-0.8486442574947527,0.5289640103269597,0.996436098130433,0.08435106604304499,2018,0.992004949679715,0.12619896913582973,-0.9945218953682734,-0.10452846326765336,0,0,0,0,0,0,0,1,0,0
88,31.5,26.5,39.1,31.6,22.09,4.3,0.0,11.9,23.4,286.0,4.58,0,89,-0.7247927872291203,0.6889669190756862,0.9977186146800707,0.06750974685836528,2018,0.992004949679715,0.12619896913582973,-0.9945218953682734,-0.10452846326765336,0,0,0,0,0,0,0,1,0,0
89,32.1,25.6,38.8,30.4,23.44,4.9,0.0,14.5,28.4,286.0,4.8,0,90,-0.5712682150947935,0.8207634412072755,0.9987165071710528,0.05064916883871277,2018,0.9914448613738104,0.1305261922200517,-0.9940563382223195,-0.10886687485196507,0,0,0,0,0,0,0,1,0,0
90,32.0,25.8,40.0,31.2,21.72,5.3,0.0,13.8,29.2,269.0,4.5,0,90,-0.5712682150947935,0.8207634412072755,0.9987165071710528,0.05064916883871277,2018,0.9914448613738104,0.1305261922200517,-0.9940563382223195,-0.10886687485196507,0,0,0,0,0,0,0,1,0,0
91,32.4,25.4,40.4,31.1,21.9,18.9,0.0,10.2,24.5,264.0,4.52,0,91,-0.39435585511332083,0.9189578116202297,0.999429490929718,0.03377414188346829,2018,0.9914448613738104,0.1305261922200517,-0.9935718556765875,-0.11320321376790694,0,0,0,0,0,0,0,1,0,0
